"DATE","PMID","YEAR","IF","JOURNAL","ARTICLE","AUTHORS"
"2021-04-17","33859182","2021","12.121","Nature communications","Substantial hysteresis in emergent temperature sensitivity of global wetland CH4 emissions.","Chang KY, Riley WJ, Knox SH, Jackson RB, McNicol G, Poulter B, Aurela M, Baldocchi D, Bansal S, Bohrer G, Campbell DI, Cescatti A, Chu H, Delwiche KB, Desai AR, Euskirchen E, Friborg T, Goeckede M, Helbig M, Hemes KS, Hirano T, Iwata H, Kang M, Keenan T, Krauss KW, Lohila A, Mammarella I, Mitra B, Miyata A, Nilsson MB, Noormets A, Oechel WC, Papale D, Peichl M, Reba ML, Rinne J, Runkle BRK, Ryu Y, Sachs T, Schäfer KVR, Schmid HP, Shurpali N, Sonnentag O, Tang ACI, Torn MS, Trotta C, Tuittila ES, Ueyama M, Vargas R, Vesala T, Windham-Myers L, Zhang Z, Zona D"
"2021-10-08","34616075","2021","42.778","Nature","A multimodal cell census and atlas of the mammalian primary motor cortex.","BRAIN Initiative Cell Census Network (BICCN) "
"2021-10-08","34616062","2021","42.778","Nature","Comparative cellular analysis of motor cortex in human, marmoset and mouse.","Bakken TE, Jorstad NL, Hu Q, Lake BB, Tian W, Kalmbach BE, Crow M, Hodge RD, Krienen FM, Sorensen SA, Eggermont J, Yao Z, Aevermann BD, Aldridge AI, Bartlett A, Bertagnolli D, Casper T, Castanon RG, Crichton K, Daigle TL, Dalley R, Dee N, Dembrow N, Diep D, Ding SL, Dong W, Fang R, Fischer S, Goldman M, Goldy J, Graybuck LT, Herb BR, Hou X, Kancherla J, Kroll M, Lathia K, van Lew B, Li YE, Liu CS, Liu H, Lucero JD, Mahurkar A, McMillen D, Miller JA, Moussa M, Nery JR, Nicovich PR, Niu SY, Orvis J, Osteen JK, Owen S, Palmer CR, Pham T, Plongthongkum N, Poirion O, Reed NM, Rimorin C, Rivkin A, Romanow WJ, Sedeño-Cortés AE, Siletti K, Somasundaram S, Sulc J, Tieu M, Torkelson A, Tung H, Wang X, Xie F, Yanny AM, Zhang R, Ament SA, Behrens MM, Bravo HC, Chun J, Dobin A, Gillis J, Hertzano R, Hof PR, Höllt T, Horwitz GD, Keene CD, Kharchenko PV, Ko AL, Lelieveldt BP, Luo C, Mukamel EA, Pinto-Duarte A, Preissl S, Regev A, Ren B, Scheuermann RH, Smith K, Spain WJ, White OR, Koch C, Hawrylycz M, Tasic B, Macosko EZ, McCarroll SA, Ting JT, Zeng H, Zhang K, Feng G, Ecker JR, Linnarsson S, Lein ES"
"2021-07-16","34262047","2021","12.121","Nature communications","Chronic lung diseases are associated with gene expression programs favoring SARS-CoV-2 entry and severity.","Bui LT, Winters NI, Chung MI, Joseph C, Gutierrez AJ, Habermann AC, Adams TS, Schupp JC, Poli S, Peter LM, Taylor CJ, Blackburn JB, Richmond BW, Nicholson AG, Rassl D, Wallace WA, Rosas IO, Jenkins RG, Kaminski N, Kropski JA, Banovich NE, Human Cell Atlas Lung Biological Network "
"2021-05-01","33930313","2021","26.602","Cancer cell","Evolutionary switch in expression of key markers between mouse and human leads to mis-assignment of cell types in developing adrenal medulla.","Kameneva P, V Artemov A, Kastriti ME, Sundström E, Kharchenko PV, Adameyko I"
"2021-04-10","33833454","2021","27.603","Nature genetics","Single-cell transcriptomics of human embryos identifies multiple sympathoblast lineages with potential implications for neuroblastoma origin.","Kameneva P, Artemov AV, Kastriti ME, Faure L, Olsen TK, Otte J, Erickson A, Semsch B, Andersson ER, Ratz M, Frisén J, Tischler AS, de Krijger RR, Bouderlique T, Akkuratova N, Vorontsova M, Gusev O, Fried K, Sundström E, Mei S, Kogner P, Baryawno N, Kharchenko PV, Adameyko I"
"2020-10-03","33004487","2020","41.845","Science","A latent lineage potential in resident neural stem cells enables spinal cord repair.","Llorens-Bobadilla E, Chell JM, Le Merre P, Wu Y, Zamboni M, Bergenstråhle J, Stenudd M, Sopova E, Lundeberg J, Shupliakov O, Carlén M, Frisén J"
"2020-09-19","32946785","2020","38.637","Cell","Multimodal Analysis of Composition and Spatial Architecture in Human Squamous Cell Carcinoma.","Ji AL, Rubin AJ, Thrane K, Jiang S, Reynolds DL, Meyers RM, Guo MG, George BM, Mollbrink A, Bergenstråhle J, Larsson L, Bai Y, Zhu B, Bhaduri A, Meyers JM, Rovira-Clavé X, Hollmig ST, Aasi SZ, Nolan GP, Lundeberg J, Khavari PA"
"2020-07-24","32702314","2020","38.637","Cell","Spatial Transcriptomics and In Situ Sequencing to Study Alzheimer's Disease.","Chen WT, Lu A, Craessaerts K, Pavie B, Sala Frigerio C, Corthout N, Qian X, Laláková J, Kühnemund M, Voytyuk I, Wolfs L, Mancuso R, Salta E, Balusu S, Snellinx A, Munck S, Jurek A, Fernandez Navarro J, Saido TC, Huitinga I, Lundeberg J, Fiers M, De Strooper B"
"2020-06-25","32579974","2020","38.637","Cell","Multimodal Analysis of Composition and Spatial Architecture in Human Squamous Cell Carcinoma.","Ji AL, Rubin AJ, Thrane K, Jiang S, Reynolds DL, Meyers RM, Guo MG, George BM, Mollbrink A, Bergenstråhle J, Larsson L, Bai Y, Zhu B, Bhaduri A, Meyers JM, Rovira-Clavé X, Hollmig ST, Aasi SZ, Nolan GP, Lundeberg J, Khavari PA"
"2020-05-16","32413319","2020","38.637","Cell","SARS-CoV-2 Receptor ACE2 Is an Interferon-Stimulated Gene in Human Airway Epithelial Cells and Is Detected in Specific Cell Subsets across Tissues.","Ziegler CGK, Allon SJ, Nyquist SK, Mbano IM, Miao VN, Tzouanas CN, Cao Y, Yousif AS, Bals J, Hauser BM, Feldman J, Muus C, Wadsworth MH, Kazer SW, Hughes TK, Doran B, Gatter GJ, Vukovic M, Taliaferro F, Mead BE, Guo Z, Wang JP, Gras D, Plaisant M, Ansari M, Angelidis I, Adler H, Sucre JMS, Taylor CJ, Lin B, Waghray A, Mitsialis V, Dwyer DF, Buchheit KM, Boyce JA, Barrett NA, Laidlaw TM, Carroll SL, Colonna L, Tkachev V, Peterson CW, Yu A, Zheng HB, Gideon HP, Winchell CG, Lin PL, Bingle CD, Snapper SB, Kropski JA, Theis FJ, Schiller HB, Zaragosi LE, Barbry P, Leslie A, Kiem HP, Flynn JL, Fortune SM, Berger B, Finberg RW, Kean LS, Garber M, Schmidt AG, Lingwood D, Shalek AK, Ordovas-Montanes J, HCA Lung Biological Network. Electronic address: lung-network@humancellatlas.org , HCA Lung Biological Network "
"2020-04-25","32327758","2020","36.13","Nature medicine","SARS-CoV-2 entry factors are highly expressed in nasal epithelial cells together with innate immune genes.","Sungnak W, Huang N, Bécavin C, Berg M, Queen R, Litvinukova M, Talavera-López C, Maatz H, Reichart D, Sampaziotis F, Worlock KB, Yoshida M, Barnes JL, HCA Lung Biological Network "
"2020-09-08","32894860","2020","42.778","Nature","LifeTime and improving European healthcare through cell-based interceptive medicine.","Rajewsky N, Almouzni G, Gorski SA, Aerts S, Amit I, Bertero MG, Bock C, Bredenoord AL, Cavalli G, Chiocca S, Clevers H, De Strooper B, Eggert A, Ellenberg J, Fernández XM, Figlerowicz M, Gasser SM, Hubner N, Kjems J, Knoblich JA, Krabbe G, Lichter P, Linnarsson S, Marine JC, Marioni JC, Marti-Renom MA, Netea MG, Nickel D, Nollmann M, Novak HR, Parkinson H, Piccolo S, Pinheiro I, Pombo A, Popp C, Reik W, Roman-Roman S, Rosenstiel P, Schultze JL, Stegle O, Tanay A, Testa G, Thanos D, Theis FJ, Torres-Padilla ME, Valencia A, Vallot C, van Oudenaarden A, Vidal M, Voet T, LifeTime Community Working Groups "
"2020-11-19","33203872","2020","12.121","Nature communications","Distinct oligodendrocyte populations have spatial preference and different responses to spinal cord injury.","Floriddia EM, Lourenço T, Zhang S, van Bruggen D, Hilscher MM, Kukanja P, Gonçalves Dos Santos JP, Altınkök M, Yokota C, Llorens-Bobadilla E, Mulinyawe SB, Grãos M, Sun LO, Frisén J, Nilsson M, Castelo-Branco G"
"2020-08-28","32848144","2020","12.121","Nature communications","Bimodal diel pattern in peatland ecosystem respiration rebuts uniform temperature response.","Järveoja J, Nilsson MB, Crill PM, Peichl M"
"2020-12-10","33296687","2020","22.553","Immunity","Longitudinal Multi-omics Analyses Identify Responses of Megakaryocytes, Erythroid Cells, and Plasmablasts as Hallmarks of Severe COVID-19.","Bernardes JP, Mishra N, Tran F, Bahmer T, Best L, Blase JI, Bordoni D, Franzenburg J, Geisen U, Josephs-Spaulding J, Köhler P, Künstner A, Rosati E, Aschenbrenner AC, Bacher P, Baran N, Boysen T, Brandt B, Bruse N, Dörr J, Dräger A, Elke G, Ellinghaus D, Fischer J, Forster M, Franke A, Franzenburg S, Frey N, Friedrichs A, Fuß J, Glück A, Hamm J, Hinrichsen F, Hoeppner MP, Imm S, Junker R, Kaiser S, Kan YH, Knoll R, Lange C, Laue G, Lier C, Lindner M, Marinos G, Markewitz R, Nattermann J, Noth R, Pickkers P, Rabe KF, Renz A, Röcken C, Rupp J, Schaffarzyk A, Scheffold A, Schulte-Schrepping J, Schunk D, Skowasch D, Ulas T, Wandinger KP, Wittig M, Zimmermann J, Busch H, Hoyer BF, Kaleta C, Heyckendorf J, Kox M, Rybniker J, Schreiber S, Schultze JL, Rosenstiel P, HCA Lung Biological Network , Deutsche COVID-19 Omics Initiative (DeCOI) "
"2020-08-17","32795091","2020","23.603","Circulation","Myocyte-Specific Upregulation of ACE2 in Cardiovascular Disease: Implications for SARS-CoV-2-Mediated Myocarditis.","Tucker NR, Chaffin M, Bedi KC, Papangeli I, Akkad AD, Arduini A, Hayat S, Eraslan G, Muus C, Bhattacharyya RP, Stegmann CM, Human Cell Atlas Lung Biological Network , Margulies KB, Ellinor PT, Human Cell Atlas Lung Biological Network Consortium Members "
=======
>>>>>>> 84d3997c79a9d81d62d30050c548284ac5aa71e9
