"","DATE","PMID","YEAR","IF","JOURNAL","TITLE","AUTHORS","DOI","FULL_JOURNAL_NAME"
"24","2018 Aug","30089906","2018","42.778","Nature","RNA velocity of single cells","La Manno G, Soldatov R, Zeisel A, Braun E, Hochgerner H, Petukhov V, Lidschreiber K, Kastriti ME, L""onnerberg P, Furlan A, Fan J, Borm LE, Liu Z, van Bruggen D, Guo J, He X, Barker R, Sundstr""om E, Castelo-Branco G, Cramer P, Adameyko I, Linnarsson S, Kharchenko PV.","10.1038/s41586-018-0414-6","nature"
"25","2018 Jul","29942086","2018","27.603","Nat Genet","Genome-wide association meta-analysis in 269,867 individuals identifies new genetic and functional links to intelligence","Savage JE, Jansen PR, Stringer S, Watanabe K, Bryois J, de Leeuw CA, Nagel M, Awasthi S, Barr PB, Coleman JRI, Grasby KL, Hammerschlag AR, Kaminski JA, Karlsson R, Krapohl E, Lam M, Nygaard M, Reynolds CA, Trampush JW, Young H, Zabaneh D, H""agg S, Hansell NK, Karlsson IK, Linnarsson S, Montgomery GW, Mu~noz-Manchado AB, Quinlan EB, Schumann G, Skene NG, Webb BT, White T, Arking DE, Avramopoulos D, Bilder RM, Bitsios P, Burdick KE, Cannon TD, Chiba-Falek O, Christoforou A, Cirulli ET, Congdon E, Corvin A, Davies G, Deary IJ, DeRosse P, Dickinson D, Djurovic S, Donohoe G, Conley ED, Eriksson JG, Espeseth T, Freimer NA, Giakoumaki S, Giegling I, Gill M, Glahn DC, Hariri AR, Hatzimanolis A, Keller MC, Knowles E, Koltai D, Konte B, Lahti J, Le Hellard S, Lencz T, Liewald DC, London E, Lundervold AJ, Malhotra AK, Melle I, Morris D, Need AC, Ollier W, Palotie A, Payton A, Pendleton N, Poldrack RA, R""aikk""onen K, Reinvang I, Roussos P, Rujescu D, Sabb FW, Scult MA, Smeland OB, Smyrnis N, Starr JM, Steen VM, Stefanis NC, Straub RE, Sundet K, Tiemeier H, Voineskos AN, Weinberger DR, Widen E, Yu J, Abecasis G, Andreassen OA, Breen G, Christiansen L, Debrabant B, Dick DM, Heinz A, Hjerling-Leffler J, Ikram MA, Kendler KS, Martin NG, Medland SE, Pedersen NL, Plomin R, Polderman TJC, Ripke S, van der Sluis S, Sullivan PF, Vrieze SI, Wright MJ, Posthuma D.","10.1038/s41588-018-0152-6","nature genetics"
"26","2018 Jul","29942085","2018","27.603","Nat Genet","Meta-analysis of genome-wide association studies for neuroticism in 449,484 individuals identifies novel genetic loci and pathways","Nagel M, Jansen PR, Stringer S, Watanabe K, de Leeuw CA, Bryois J, Savage JE, Hammerschlag AR, Skene NG, Mu~noz-Manchado AB; 23andMe Research Team, White T, Tiemeier H, Linnarsson S, Hjerling-Leffler J, Polderman TJC, Sullivan PF, van der Sluis S, Posthuma D.","10.1038/s41588-018-0151-7","nature genetics"
"28","2018 Jun","29785013","2018","27.603","Nat Genet","Genetic identification of brain cell types underlying schizophrenia","Skene NG, Bryois J, Bakken TE, Breen G, Crowley JJ, Gaspar HA, Giusti-Rodriguez P, Hodge RD, Miller JA, Mu~noz-Manchado AB, O'Donovan MC, Owen MJ, Pardi~nas AF, Ryge J, Walters JTR, Linnarsson S, Lein ES; Major Depressive Disorder Working Group of the Psychiatric Genomics Consortium, Sullivan PF, Hjerling-Leffler J.","10.1038/s41588-018-0129-5","nature genetics"
"29","2018 Jun","29686262","2018","20.071","Nat Neurosci","Neuronal atlas of the dorsal horn defines its architecture and links sensory input to transcriptional cell types","H""aring M, Zeisel A, Hochgerner H, Rinwa P, Jakobsson JET, L""onnerberg P, La Manno G, Sharma N, Borgius L, Kiehn O, Lagerstr""om MC, Linnarsson S, Ernfors P.","10.1038/s41593-018-0141-1","nature neuroscience"
"32","2018 Feb","29335606","2018","20.071","Nat Neurosci","Conserved properties of dentate gyrus neurogenesis across postnatal development revealed by single-cell RNA sequencing","Hochgerner H, Zeisel A, L""onnerberg P, Linnarsson S.","10.1038/s41593-017-0056-2","nature neuroscience"
"37","2017 Dec 7","29174331","2017","20.860","Cell Stem Cell","Constitutively Active SMAD2/3 Are Broad-Scope Potentiators of Transcription-Factor-Mediated Cellular Reprogramming","Ruetz T, Pfisterer U, Di Stefano B, Ashmore J, Beniazza M, Tian TV, Kaemena DF, Tosti L, Tan W, Manning JR, Chantzoura E, Ottosson DR, Collombet S, Johnsson A, Cohen E, Yusa K, Linnarsson S, Graf T, Parmar M, Kaji K.","10.1016/j.stem.2017.10.013","cell stem cell"
"38","2017 Oct 6","28983044","2017","41.845","Science","The promise of spatial transcriptomics for neuroscience in the era of molecular cell typing","Lein E, Borm LE, Linnarsson S.","10.1126/science.aan6827","science"
"41","2017 May","28398344","2017","36.558","Nat Biotechnol","Induction of functional dopamine neurons from human astrocytes in vitro and mouse astrocytes in a Parkinson's disease model","Rivetti di Val Cervo P, Romanov RA, Spigolon G, Masini D, Mart'in-Monta~nez E, Toledo EM, La Manno G, Feyder M, Pifl C, Ng YH, S'anchez SP, Linnarsson S, Wernig M, Harkany T, Fisone G, Arenas E.","10.1038/nbt.3835","nature biotechnology"
"44","2017 Feb","27991900","2017","20.071","Nat Neurosci","Molecular interrogation of hypothalamic organization reveals distinct dopamine neuronal subtypes","Romanov RA, Zeisel A, Bakker J, Girach F, Hellysaz A, Tomer R, Alp'ar A, Mulder J, Clotman F, Keimpema E, Hsueh B, Crow AK, Martens H, Schwindling C, Calvigioni D, Bains JS, M'at'e Z, Szab'o G, Yanagawa Y, Zhang MD, Rendeiro A, Farlik M, Uhl'en M, Wulff P, Bock C, Broberger C, Deisseroth K, H""okfelt T, Linnarsson S, Horvath TL, Harkany T.","10.1038/nn.4462","nature neuroscience"
"45","2016 Oct 6","27716510","2016","38.637","Cell","Molecular Diversity of Midbrain Development in Mouse, Human, and Stem Cells","La Manno G, Gyllborg D, Codeluppi S, Nishimura K, Salto C, Zeisel A, Borm LE, Stott SRW, Toledo EM, Villaescusa JC, L""onnerberg P, Ryge J, Barker RA, Arenas E, Linnarsson S.","10.1016/j.cell.2016.09.027","cell"
"46","2016 Sep 22","27662094","2016","38.637","Cell","Single-Cell RNA-Seq Reveals Lineage and X Chromosome Dynamics in Human Preimplantation Embryos","Petropoulos S, Edsg""ard D, Reinius B, Deng Q, Panula SP, Codeluppi S, Reyes AP, Linnarsson S, Sandberg R, Lanner F.","10.1016/j.cell.2016.08.009","cell"
"50","2016 Oct","27571008","2016","20.071","Nat Neurosci","Visceral motor neuron diversity delineates a cellular basis for nipple- and pilo-erection muscle control","Furlan A, La Manno G, L""ubke M, H""aring M, Abdo H, Hochgerner H, Kupari J, Usoskin D, Airaksinen MS, Oliver G, Linnarsson S, Ernfors P.","10.1038/nn.4376","nature neuroscience"
"52","2016 Jul 1","27365449","2016","41.845","Science","Visualization and analysis of gene expression in tissue sections by spatial transcriptomics","Stahl PL, Salm'en F, Vickovic S, Lundmark A, Navarro JF, Magnusson J, Giacomello S, Asp M, Westholm JO, Huss M, Mollbrink A, Linnarsson S, Codeluppi S, Borg A, Pont'en F, Costea PI, Sahl'en P, Mulder J, Bergmann O, Lundeberg J, Fris'en J.","10.1126/science.aaf2403","science"
"54","2016 Jun 10","27284195","2016","41.845","Science","Oligodendrocyte heterogeneity in the mouse juvenile and adult central nervous system","Marques S*, Zeisel A*, Codeluppi S, van Bruggen D, Mendanha Falc~ao A, Xiao L, Li H, H""aring M, Hochgerner H, Romanov RA, Gyllborg D, Mu~noz Manchado A, La Manno G, L""onnerberg P, Floriddia EM, Rezayee F, Ernfors P, Arenas E, Hjerling-Leffler J, Harkany T, Richardson WD, Linnarsson S, Castelo-Branco G.","10.1126/science.aaf6463","science"
"56","2016 Jul","27135602","2016","20.479","Nat Immunol","Origin, fate and dynamics of macrophages at central nervous system interfaces","Goldmann T, Wieghofer P, Jord~ao MJ, Prutek F, Hagemeyer N, Frenzel K, Amann L, Staszewski O, Kierdorf K, Krueger M, Locatelli G, Hochgerner H, Zeiser R, Epelman S, Geissmann F, Priller J, Rossi FM, Bechmann I, Kerschensteiner M, Linnarsson S, Jung S, Prinz M.","10.1038/ni.3423","nature immunology"
"57","2016 May 5","27062923","2016","38.637","Cell","Single-Cell RNA-Seq Reveals Lineage and X Chromosome Dynamics in Human Preimplantation Embryos","Petropoulos S, Edsg""ard D, Reinius B, Deng Q, Panula SP, Codeluppi S, Plaza Reyes A, Linnarsson S, Sandberg R, Lanner F.","10.1016/j.cell.2016.03.023","cell"
"59","2016 Feb","26689544","2016","36.558","Nat Biotechnol","Integration of electrophysiological recordings with single-cell RNA-seq data identifies neuronal subtypes","Fuzik J*, Zeisel A*, M'at'e Z, Calvigioni D, Yanagawa Y, Szab'o G, Linnarsson S, Harkany T.","10.1038/nbt.3443","nature biotechnology"
