"","DATE","PMID","YEAR","IF","JOURNAL","TITLE","AUTHORS","DOI","FULL_JOURNAL_NAME"
"17","2021 Feb","33627808","2021","42.778","Nature","Spatiotemporal dissection of the cell cycle with single-cell proteogenomics","Mahdessian D*, Cesnik AJ*, Gnann C, Danielsson F, Stenstr""om L, Arif M, Zhang C, Le T, Johansson F, Schutten R, B""ackstr""om A, Axelsson U, Thul P, Cho NH, Carja O, Uhl'en M, Mardinoglu A, Stadler C, Lindskog C, Ayoglu B, Leonetti MD, Pont'en F, Sullivan DP, Lundberg E.","10.1038/s41586-021-03232-9","nature"
"18","2021 Feb","33500565","2021","36.558","Nat Biotechnol","Building a high-quality Human Cell Atlas","Rozenblatt-Rosen O*, Shin JW*, Rood JE, Hupalowska A; Human Cell Atlas Standards and Technology Working Group, Regev A, Heyn H.","10.1038/s41587-020-00812-4","nature biotechnology"
"19","2021 Sep","34497388","2021","42.778","Nature","A roadmap for the Human Developmental Cell Atlas","Haniffa M*, Taylor D*, Linnarsson S*, Aronow BJ, Bader GD, Barker RA, Camara PG, Camp JG, Ch'edotal A, Copp A, Etchevers HC, Giacobini P, G""ottgens B, Guo G, Hupalowska A, James KR, Kirby E, Kriegstein A, Lundeberg J, Marioni JC, Meyer KB, Niakan KK, Nilsson M, Olabi B, Pe'er D, Regev A, Rood J, Rozenblatt-Rosen O, Satija R, Teichmann SA, Treutlein B, Vento-Tormo R, Webb S; Human Cell Atlas Developmental Biological Network.","10.1038/s41586-021-03620-1","nature"
"20","2021 May 10","33930313","2021","26.602","Cancer Cell","Evolutionary switch in expression of key markers between mouse and human leads to mis-assignment of cell types in developing adrenal medulla","Kameneva P, V Artemov A, Kastriti ME, Sundstr""om E, Kharchenko PV, Adameyko I.","10.1016/j.ccell.2021.04.009","cancer cell"
"21","2021 May","33833454","2021","27.603","Nat Genet","Single-cell transcriptomics of human embryos identifies multiple sympathoblast lineages with potential implications for neuroblastoma origin","Kameneva P*, Artemov AV*, Kastriti ME, Faure L, Olsen TK, Otte J, Erickson A, Semsch B, Andersson ER, Ratz M, Fris'en J, Tischler AS, de Krijger RR, Bouderlique T, Akkuratova N, Vorontsova M, Gusev O, Fried K, Sundstr""om E, Mei S, Kogner P, Baryawno N, Kharchenko PV, Adameyko I.","10.1038/s41588-021-00818-x","nature genetics"
"22","2021 Mar","33654293","2021","36.130","Nat Med","Single-cell meta-analysis of SARS-CoV-2 entry genes across tissues and demographics","Muus C*, Luecken MD*, Eraslan G*, Sikkema L*, Waghray A*, Heimberg G*, Kobayashi Y*, Vaishnav ED*, Subramanian A*, Smillie C*, Jagadeesh KA*, Duong ET*, Fiskin E*, Torlai Triglia E*, Ansari M*, Cai P*, Lin B*, Buchanan J*, Chen S*, Shu J*, Haber AL*, Chung H*, Montoro DT*, Adams T, Aliee H, Allon SJ, Andrusivova Z, Angelidis I, Ashenberg O, Bassler K, B'ecavin C, Benhar I, Bergenstrahle J, Bergenstrahle L, Bolt L, Braun E, Bui LT, Callori S, Chaffin M, Chichelnitskiy E, Chiou J, Conlon TM, Cuoco MS, Cuomo ASE, Deprez M, Duclos G, Fine D, Fischer DS, Ghazanfar S, Gillich A, Giotti B, Gould J, Guo M, Gutierrez AJ, Habermann AC, Harvey T, He P, Hou X, Hu L, Hu Y, Jaiswal A, Ji L, Jiang P, Kapellos TS, Kuo CS, Larsson L, Leney-Greene MA, Lim K, Litvinukov'a M, Ludwig LS, Lukassen S, Luo W, Maatz H, Madissoon E, Mamanova L, Manakongtreecheep K, Leroy S, Mayr CH, Mbano IM, McAdams AM, Nabhan AN, Nyquist SK, Penland L, Poirion OB, Poli S, Qi C, Queen R, Reichart D, Rosas I, Schupp JC, Shea CV, Shi X, Sinha R, Sit RV, Slowikowski K, Slyper M, Smith NP, Sountoulidis A, Strunz M, Sullivan TB, Sun D, Talavera-L'opez C, Tan P, Tantivit J, Travaglini KJ, Tucker NR, Vernon KA, Wadsworth MH, Waldman J, Wang X, Xu K, Yan W, Zhao W, Ziegler CGK; NHLBI LungMap Consortium; Human Cell Atlas Lung Biological Network.","10.1038/s41591-020-01227-z","nature medicine"
"23","2021 Sep","34497388","2021","42.778","Nature","A roadmap for the Human Developmental Cell Atlas","Haniffa M*, Taylor D*, Linnarsson S*, Aronow BJ, Bader GD, Barker RA, Camara PG, Camp JG, Ch'edotal A, Copp A, Etchevers HC, Giacobini P, G""ottgens B, Guo G, Hupalowska A, James KR, Kirby E, Kriegstein A, Lundeberg J, Marioni JC, Meyer KB, Niakan KK, Nilsson M, Olabi B, Pe'er D, Regev A, Rood J, Rozenblatt-Rosen O, Satija R, Teichmann SA, Treutlein B, Vento-Tormo R, Webb S; Human Cell Atlas Developmental Biological Network.","10.1038/s41586-021-03620-1","nature"
"24","2021 Sep","34493872","2021","27.603","Nat Genet","A single-cell and spatially resolved atlas of human breast cancers","Wu SZ*, Al-Eryani G*, Roden DL*, Junankar S, Harvey K, Andersson A, Thennavan A, Wang C, Torpy JR, Bartonicek N, Wang T, Larsson L, Kaczorowski D, Weisenfeld NI, Uytingco CR, Chew JG, Bent ZW, Chan CL, Gnanasambandapillai V, Dutertre CA, Gluch L, Hui MN, Beith J, Parker A, Robbins E, Segara D, Cooper C, Mak C, Chan B, Warrier S, Ginhoux F, Millar E, Powell JE, Williams SR, Liu XS, O'Toole S, Lim E, Lundeberg J, Perou CM, Swarbrick A.","10.1038/s41588-021-00911-1","nature genetics"
"25","2021 Mar","33654293","2021","36.130","Nat Med","Single-cell meta-analysis of SARS-CoV-2 entry genes across tissues and demographics","Muus C*, Luecken MD*, Eraslan G*, Sikkema L*, Waghray A*, Heimberg G*, Kobayashi Y*, Vaishnav ED*, Subramanian A*, Smillie C*, Jagadeesh KA*, Duong ET*, Fiskin E*, Torlai Triglia E*, Ansari M*, Cai P*, Lin B*, Buchanan J*, Chen S*, Shu J*, Haber AL*, Chung H*, Montoro DT*, Adams T, Aliee H, Allon SJ, Andrusivova Z, Angelidis I, Ashenberg O, Bassler K, B'ecavin C, Benhar I, Bergenstrahle J, Bergenstrahle L, Bolt L, Braun E, Bui LT, Callori S, Chaffin M, Chichelnitskiy E, Chiou J, Conlon TM, Cuoco MS, Cuomo ASE, Deprez M, Duclos G, Fine D, Fischer DS, Ghazanfar S, Gillich A, Giotti B, Gould J, Guo M, Gutierrez AJ, Habermann AC, Harvey T, He P, Hou X, Hu L, Hu Y, Jaiswal A, Ji L, Jiang P, Kapellos TS, Kuo CS, Larsson L, Leney-Greene MA, Lim K, Litvinukov'a M, Ludwig LS, Lukassen S, Luo W, Maatz H, Madissoon E, Mamanova L, Manakongtreecheep K, Leroy S, Mayr CH, Mbano IM, McAdams AM, Nabhan AN, Nyquist SK, Penland L, Poirion OB, Poli S, Qi C, Queen R, Reichart D, Rosas I, Schupp JC, Shea CV, Shi X, Sinha R, Sit RV, Slowikowski K, Slyper M, Smith NP, Sountoulidis A, Strunz M, Sullivan TB, Sun D, Talavera-L'opez C, Tan P, Tantivit J, Travaglini KJ, Tucker NR, Vernon KA, Wadsworth MH, Waldman J, Wang X, Xu K, Yan W, Zhao W, Ziegler CGK; NHLBI LungMap Consortium; Human Cell Atlas Lung Biological Network.","10.1038/s41591-020-01227-z","nature medicine"
"26","2021 Jan","33408402","2021","30.822","Nat Methods","Spatially resolved transcriptomics adds a new dimension to genomics","Larsson L, Fris'en J, Lundeberg J.","10.1038/s41592-020-01038-7","nature methods"
"27","2021 Nov 2","34637281","2021","20.832","Acc Chem Res","Rolling Circle Amplification in Integrated Microsystems: An Uncut Gem toward Massively Multiplexed Pathogen Diagnostics and Genotyping","Soares RRG, Madaboosi N, Nilsson M.","10.1021/acs.accounts.1c00438","accounts of chemical research"
"28","2021 Sep","34497388","2021","42.778","Nature","A roadmap for the Human Developmental Cell Atlas","Haniffa M*, Taylor D*, Linnarsson S*, Aronow BJ, Bader GD, Barker RA, Camara PG, Camp JG, Ch'edotal A, Copp A, Etchevers HC, Giacobini P, G""ottgens B, Guo G, Hupalowska A, James KR, Kirby E, Kriegstein A, Lundeberg J, Marioni JC, Meyer KB, Niakan KK, Nilsson M, Olabi B, Pe'er D, Regev A, Rood J, Rozenblatt-Rosen O, Satija R, Teichmann SA, Treutlein B, Vento-Tormo R, Webb S; Human Cell Atlas Developmental Biological Network.","10.1038/s41586-021-03620-1","nature"
"29","2021 Aug","34321664","2021","42.778","Nature","Molecular architecture of the developing mouse brain","La Manno G*, Siletti K*, Furlan A, Gyllborg D, Vinsland E, Mossi Albiach A, Mattsson Langseth C, Khven I, Lederer AR, Dratva LM, Johnsson A, Nilsson M, L""onnerberg P, Linnarsson S.","10.1038/s41586-021-03775-x","nature"
"30","2021 Oct","34616075","2021","42.778","Nature","A multimodal cell census and atlas of the mammalian primary motor cortex","BRAIN Initiative Cell Census Network (BICCN).","10.1038/s41586-021-03950-0","nature"
"31","2021 Oct","34616062","2021","42.778","Nature","Comparative cellular analysis of motor cortex in human, marmoset and mouse","Bakken TE, Jorstad NL, Hu Q, Lake BB, Tian W, Kalmbach BE, Crow M, Hodge RD, Krienen FM, Sorensen SA, Eggermont J, Yao Z, Aevermann BD, Aldridge AI, Bartlett A, Bertagnolli D, Casper T, Castanon RG, Crichton K, Daigle TL, Dalley R, Dee N, Dembrow N, Diep D, Ding SL, Dong W, Fang R, Fischer S, Goldman M, Goldy J, Graybuck LT, Herb BR, Hou X, Kancherla J, Kroll M, Lathia K, van Lew B, Li YE, Liu CS, Liu H, Lucero JD, Mahurkar A, McMillen D, Miller JA, Moussa M, Nery JR, Nicovich PR, Niu SY, Orvis J, Osteen JK, Owen S, Palmer CR, Pham T, Plongthongkum N, Poirion O, Reed NM, Rimorin C, Rivkin A, Romanow WJ, Sede~no-Cort'es AE, Siletti K, Somasundaram S, Sulc J, Tieu M, Torkelson A, Tung H, Wang X, Xie F, Yanny AM, Zhang R, Ament SA, Behrens MM, Bravo HC, Chun J, Dobin A, Gillis J, Hertzano R, Hof PR, H""ollt T, Horwitz GD, Keene CD, Kharchenko PV, Ko AL, Lelieveldt BP, Luo C, Mukamel EA, Pinto-Duarte A, Preissl S, Regev A, Ren B, Scheuermann RH, Smith K, Spain WJ, White OR, Koch C, Hawrylycz M, Tasic B, Macosko EZ, McCarroll SA, Ting JT, Zeng H, Zhang K, Feng G, Ecker JR, Linnarsson S, Lein ES.","10.1038/s41586-021-03465-8","nature"
"32","2021 Sep","34497388","2021","42.778","Nature","A roadmap for the Human Developmental Cell Atlas","Haniffa M*, Taylor D*, Linnarsson S*, Aronow BJ, Bader GD, Barker RA, Camara PG, Camp JG, Ch'edotal A, Copp A, Etchevers HC, Giacobini P, G""ottgens B, Guo G, Hupalowska A, James KR, Kirby E, Kriegstein A, Lundeberg J, Marioni JC, Meyer KB, Niakan KK, Nilsson M, Olabi B, Pe'er D, Regev A, Rood J, Rozenblatt-Rosen O, Satija R, Teichmann SA, Treutlein B, Vento-Tormo R, Webb S; Human Cell Atlas Developmental Biological Network.","10.1038/s41586-021-03620-1","nature"
"33","2021 Aug","34321664","2021","42.778","Nature","Molecular architecture of the developing mouse brain","La Manno G*, Siletti K*, Furlan A, Gyllborg D, Vinsland E, Mossi Albiach A, Mattsson Langseth C, Khven I, Lederer AR, Dratva LM, Johnsson A, Nilsson M, L""onnerberg P, Linnarsson S.","10.1038/s41586-021-03775-x","nature"
"34","2021 Apr","33731935","2021","42.778","Nature","Publisher Correction: LifeTime and improving European healthcare through cell-based interceptive medicine","Rajewsky N*, Almouzni G*, Gorski SA*, Aerts S, Amit I, Bertero MG, Bock C, Bredenoord AL, Cavalli G, Chiocca S, Clevers H, De Strooper B, Eggert A, Ellenberg J, Fern'andez XM, Figlerowicz M, Gasser SM, Hubner N, Kjems J, Knoblich JA, Krabbe G, Lichter P, Linnarsson S, Marine JC, Marioni JC, Marti-Renom MA, Netea MG, Nickel D, Nollmann M, Novak HR, Parkinson H, Piccolo S, Pinheiro I, Pombo A, Popp C, Reik W, Roman-Roman S, Rosenstiel P, Schultze JL, Stegle O, Tanay A, Testa G, Thanos D, Theis FJ, Torres-Padilla ME, Valencia A, Vallot C, van Oudenaarden A, Vidal M, Voet T; LifeTime Community Working Groups.","10.1038/s41586-021-03287-8","nature"
"35","2021 Mar","33654293","2021","36.130","Nat Med","Single-cell meta-analysis of SARS-CoV-2 entry genes across tissues and demographics","Muus C*, Luecken MD*, Eraslan G*, Sikkema L*, Waghray A*, Heimberg G*, Kobayashi Y*, Vaishnav ED*, Subramanian A*, Smillie C*, Jagadeesh KA*, Duong ET*, Fiskin E*, Torlai Triglia E*, Ansari M*, Cai P*, Lin B*, Buchanan J*, Chen S*, Shu J*, Haber AL*, Chung H*, Montoro DT*, Adams T, Aliee H, Allon SJ, Andrusivova Z, Angelidis I, Ashenberg O, Bassler K, B'ecavin C, Benhar I, Bergenstrahle J, Bergenstrahle L, Bolt L, Braun E, Bui LT, Callori S, Chaffin M, Chichelnitskiy E, Chiou J, Conlon TM, Cuoco MS, Cuomo ASE, Deprez M, Duclos G, Fine D, Fischer DS, Ghazanfar S, Gillich A, Giotti B, Gould J, Guo M, Gutierrez AJ, Habermann AC, Harvey T, He P, Hou X, Hu L, Hu Y, Jaiswal A, Ji L, Jiang P, Kapellos TS, Kuo CS, Larsson L, Leney-Greene MA, Lim K, Litvinukov'a M, Ludwig LS, Lukassen S, Luo W, Maatz H, Madissoon E, Mamanova L, Manakongtreecheep K, Leroy S, Mayr CH, Mbano IM, McAdams AM, Nabhan AN, Nyquist SK, Penland L, Poirion OB, Poli S, Qi C, Queen R, Reichart D, Rosas I, Schupp JC, Shea CV, Shi X, Sinha R, Sit RV, Slowikowski K, Slyper M, Smith NP, Sountoulidis A, Strunz M, Sullivan TB, Sun D, Talavera-L'opez C, Tan P, Tantivit J, Travaglini KJ, Tucker NR, Vernon KA, Wadsworth MH, Waldman J, Wang X, Xu K, Yan W, Zhao W, Ziegler CGK; NHLBI LungMap Consortium; Human Cell Atlas Lung Biological Network.","10.1038/s41591-020-01227-z","nature medicine"
"36","2021 Feb","33500565","2021","36.558","Nat Biotechnol","Building a high-quality Human Cell Atlas","Rozenblatt-Rosen O*, Shin JW*, Rood JE, Hupalowska A; Human Cell Atlas Standards and Technology Working Group, Regev A, Heyn H.","10.1038/s41587-020-00812-4","nature biotechnology"
"37","2020 Dec 15","33296687","2020","22.553","Immunity","Longitudinal Multi-omics Analyses Identify Responses of Megakaryocytes, Erythroid Cells, and Plasmablasts as Hallmarks of Severe COVID-19","Bernardes JP, Mishra N, Tran F, Bahmer T, Best L, Blase JI, Bordoni D, Franzenburg J, Geisen U, Josephs-Spaulding J, K""ohler P, K""unstner A, Rosati E, Aschenbrenner AC, Bacher P, Baran N, Boysen T, Brandt B, Bruse N, D""orr J, Dr""ager A, Elke G, Ellinghaus D, Fischer J, Forster M, Franke A, Franzenburg S, Frey N, Friedrichs A, Fuss J, Gl""uck A, Hamm J, Hinrichsen F, Hoeppner MP, Imm S, Junker R, Kaiser S, Kan YH, Knoll R, Lange C, Laue G, Lier C, Lindner M, Marinos G, Markewitz R, Nattermann J, Noth R, Pickkers P, Rabe KF, Renz A, R""ocken C, Rupp J, Schaffarzyk A, Scheffold A, Schulte-Schrepping J, Schunk D, Skowasch D, Ulas T, Wandinger KP, Wittig M, Zimmermann J, Busch H, Hoyer BF, Kaleta C, Heyckendorf J, Kox M, Rybniker J, Schreiber S, Schultze JL, Rosenstiel P; HCA Lung Biological Network; Deutsche COVID-19 Omics Initiative (DeCOI).","10.1016/j.immuni.2020.11.017","immunity"
"38","2020 Aug 18","32795091","2020","23.603","Circulation","Myocyte-Specific Upregulation of ACE2 in Cardiovascular Disease: Implications for SARS-CoV-2-Mediated Myocarditis","Tucker NR*, Chaffin M*, Bedi KC Jr, Papangeli I, Akkad AD, Arduini A, Hayat S, Eraslan G, Muus C, Bhattacharyya RP, Stegmann CM; Human Cell Atlas Lung Biological Network, Margulies KB, Ellinor PT; Human Cell Atlas Lung Biological Network Consortium Members.","10.1161/CIRCULATIONAHA.120.047911","circulation"
"39","2020 May 28","32413319","2020","38.637","Cell","SARS-CoV-2 Receptor ACE2 Is an Interferon-Stimulated Gene in Human Airway Epithelial Cells and Is Detected in Specific Cell Subsets across Tissues","Ziegler CGK, Allon SJ, Nyquist SK, Mbano IM, Miao VN, Tzouanas CN, Cao Y, Yousif AS, Bals J, Hauser BM, Feldman J, Muus C, Wadsworth MH 2nd, Kazer SW, Hughes TK, Doran B, Gatter GJ, Vukovic M, Taliaferro F, Mead BE, Guo Z, Wang JP, Gras D, Plaisant M, Ansari M, Angelidis I, Adler H, Sucre JMS, Taylor CJ, Lin B, Waghray A, Mitsialis V, Dwyer DF, Buchheit KM, Boyce JA, Barrett NA, Laidlaw TM, Carroll SL, Colonna L, Tkachev V, Peterson CW, Yu A, Zheng HB, Gideon HP, Winchell CG, Lin PL, Bingle CD, Snapper SB, Kropski JA, Theis FJ, Schiller HB, Zaragosi LE, Barbry P, Leslie A, Kiem HP, Flynn JL, Fortune SM, Berger B, Finberg RW, Kean LS, Garber M, Schmidt AG, Lingwood D, Shalek AK, Ordovas-Montanes J; HCA Lung Biological Network. Electronic address: lung-network@humancellatlas.org; HCA Lung Biological Network.","10.1016/j.cell.2020.04.035","cell"
"40","2020 May","32327758","2020","36.130","Nat Med","SARS-CoV-2 entry factors are highly expressed in nasal epithelial cells together with innate immune genes","Sungnak W, Huang N, B'ecavin C, Berg M, Queen R, Litvinukova M, Talavera-L'opez C, Maatz H, Reichart D, Sampaziotis F, Worlock KB, Yoshida M, Barnes JL; HCA Lung Biological Network.","10.1038/s41591-020-0868-6","nature medicine"
"41","2020 Nov","32894860","2020","42.778","Nature","LifeTime and improving European healthcare through cell-based interceptive medicine","Rajewsky N*, Almouzni G*, Gorski SA*, Aerts S, Amit I, Bertero MG, Bock C, Bredenoord AL, Cavalli G, Chiocca S, Clevers H, De Strooper B, Eggert A, Ellenberg J, Fern'andez XM, Figlerowicz M, Gasser SM, Hubner N, Kjems J, Knoblich JA, Krabbe G, Lichter P, Linnarsson S, Marine JC, Marioni JC, Marti-Renom MA, Netea MG, Nickel D, Nollmann M, Novak HR, Parkinson H, Piccolo S, Pinheiro I, Pombo A, Popp C, Reik W, Roman-Roman S, Rosenstiel P, Schultze JL, Stegle O, Tanay A, Testa G, Thanos D, Theis FJ, Torres-Padilla ME, Valencia A, Vallot C, van Oudenaarden A, Vidal M, Voet T; LifeTime Community Working Groups.","10.1038/s41586-020-2715-9","nature"
"42","2020 Feb","31969731","2020","30.822","Nat Methods","Publisher Correction: Analysis of the Human Protein Atlas Image Classification competition","Ouyang W, Winsnes CF, Hjelmare M, Cesnik AJ, Akesson L, Xu H, Sullivan DP, Dai S, Lan J, Jinmo P, Galib SM, Henkel C, Hwang K, Poplavskiy D, Tunguz B, Wolfinger RD, Gu Y, Li C, Xie J, Buslov D, Fironov S, Kiselev A, Panchenko D, Cao X, Wei R, Wu Y, Zhu X, Tseng KL, Gao Z, Ju C, Yi X, Zheng H, Kappel C, Lundberg E.","10.1038/s41592-020-0734-y","nature methods"
